institution_name,Fiscal Year,timestep,reverse_timestep,EUI-Adjusted Floor Space,gsf,Weighted Campus User,fte_per_gsf,Maintained Acres,Total Enrollment (FTE)2,Faculty (FTE)3,Staff (FTE)4,E-Grid Pre-2006,E-Grid,Scope 1 Emissions,Scope 2 Emissions,Scope 3 Emissions,Gross Emissions,Net Emissions,net_mtcde_per_gsf,Stationary Emissions,Fleet Emissions,Refrigerant Emissions,Agricultural Emissions,Purchased Electric Emissions,Purchased Steam Emissions,Purchased Chilled Water Emissions,Student Community Emissions,Employee Commuting Emissions,Other Travel Emissions,Waste Emissions,Wasterwater  Emissions,Paper Emissions,T&D Losses Emissions,Landfilled Waste,Incinerated Waste,C&D Waste,Recycling,Compost,Other,Waste
a,2017,15,4,"248,942",248942,416,0.00167,0,298,90,68,WECC California,WECC California,840.0128467,429.2013956,555.3030901,1824.517332,"1,824.52",0.00733,584.2693621,255.6980763,0,0.045408263,429.2013956,0,0,13.6495915,106.1943118,141.8034551,258.94792,5.095961665,10.6547454,18.95710456,182.05,0,0,15.59,8.78,3,209.35
a,2019,17,2,"248,942",248942,422,0.0017,0,321,82,59,WECC California,WECC California,859.4927909,390.5963404,522.6462135,1772.735345,"1,772.74",0.00712,626.2604782,233.1869044,0,0.045408263,390.5963404,0,0,19.19100844,92.21409228,145.9174687,229.85984,5.095961665,10.6547454,19.71309699,161.6,0,0,4.07,66.22,15,247.3
a,2018,16,3,"248,942",248942,434,0.00174,0,320,92,63,WECC California,WECC California,831.418538,380.4972577,453.6304715,1665.546267,"1,665.55",0.00669,599.532408,231.8407217,0,0.045408263,380.4972577,0,0,14.50554806,106.2152374,105.3626149,192.59296,5.095961665,10.6547454,19.20340405,135.4,0,0,1.01,59.92,0,196.33
a,2016,14,5,"248,942",248942,416,0.00167,0,298,90,68,WECC California,WECC California,829.7610664,390.6009577,382.8310719,1603.193096,"1,603.19",0.00644,570.4275402,255.7981782,3.489939695,0.045408263,390.6009577,0,0,13.65493474,106.2358775,92.4197325,137.517632,5.095961665,10.6547454,17.25218807,96.68,0,0,8.02,15.95,0,120.65
a,2020,18,1,"248,942",248942,431,0.00173,0,326,79,66,WECC California,WECC California,808.5749245,332.1683423,355.064354,1495.807621,"1,495.81",0.00601,640.2542734,168.2752428,0,0.045408263,332.1683423,0,0,14.0734062,83.70348516,90.33877165,137.9728,5.108446552,7.1031636,16.76428085,97,0,0,5.48,26.56,0,129.04
a,2021,19,0,"248,942",248942,360,0.00145,0,280,51,53,WECC California,WECC California,629.8516049,276.3144658,292.4152084,1198.581279,"1,198.58",0.00481,544.6770062,85.12919046,0,0.045408263,276.3144658,0,0,11.51460507,56.02621854,2.08435969,198.936864,2.804618808,7.1031636,13.94537865,139.86,0,0,1.48,0,0,141.34
b,2014,12,7,"285,371",285371,333,0.00117,45,252,55,59,CALI,CAMX,560.1795459,405.394005,617.3530512,1582.926602,"1,582.93",0.00555,272.319841,102.2046316,101.8042715,83.85080182,405.394005,0,0,32.08083552,156.9435355,366.7569921,-1.2135,42.38987996,0,20.3953081,40.45,0,0,6.57,60,54,161.04
b,2015,13,6,"285,371",285371,339,0.00119,45,260,55,59,CALI,CAMX,416.9203723,392.7482024,615.4542595,1425.122834,"1,425.12",0.00499,226.8800175,94.59200492,8.210021897,87.23832797,392.7482024,0,0,41.22297843,156.8529384,362.8014824,-0.6321,35.44986049,0,19.75909977,21.07,0,0,8.8,26.39,70,126.65
b,2016,14,5,"287,991",287991,337,0.00117,45,257,55,59,CALI,CAMX,439.6387257,403.8236787,613.4372327,1456.899637,"1,456.90",0.00506,228.7946168,92.23877025,32.84008759,85.76525104,403.8236787,0,0,38.93281296,156.8529384,367.579182,-0.7995,30.55549416,0,20.31630523,26.65,0,0,15.96,31.27,29,102.82
b,2017,15,4,"291,291",291291,340,0.00117,45,261,55,59,CALI,CAMX,501.3461313,77.26454626,632.2363934,1210.847071,"1,210.85",0.00416,255.3862738,86.87797362,70.74779985,88.33408398,77.26454626,0,0,39.92070953,158.7317356,366.268674,-0.81,39.92826634,8.967869468,19.22913848,27,0,0,15.96,31.27,29,103.17
b,2018,16,3,"291,291",291291,340,0.00117,45,261,55,59,CALI,CAMX,501.3461313,77.26454626,632.2363934,1210.847071,"1,210.85",0.00416,255.3862738,86.87797362,70.74779985,88.33408398,77.26454626,0,0,39.92070953,158.7317356,366.268674,-0.81,39.92826634,8.967869468,19.22913848,27,0,0,15.96,31.27,29,103.17
b,2019,17,2,"291,291",291291,340,0.00117,45,261,55,59,CALI,CAMX,501.3461313,77.26454626,632.2363934,1210.847071,"1,210.85",0.00416,255.3862738,86.87797362,70.74779985,88.33408398,77.26454626,0,0,39.92070953,158.7317356,366.268674,-0.81,39.92826634,8.967869468,19.22913848,27,0,0,15.96,31.27,29,103.17
b,2020,18,1,"291,291",291291,340,0.00117,45,261,55,59,CALI,CAMX,501.3461313,77.26454626,632.2363934,1210.847071,"1,210.85",0.00416,255.3862738,86.87797362,70.74779985,88.33408398,77.26454626,0,0,39.92070953,158.7317356,366.268674,-0.81,39.92826634,8.967869468,19.22913848,27,0,0,15.96,31.27,29,103.17
b,2010,8,11,"294,142",294142,329,0.00112,45,249,55,59,CALI,CAMX,611.078071,437.6962709,588.4944052,1637.268747,"1,637.27",0.00557,326.6678696,102.4829846,101.8042715,80.12294521,437.6962709,0,0,34.52866411,157.6574531,321.048727,-1.389,44.51199493,0,32.13656605,46.3,0,0,4.33,20,0,70.63
b,2011,9,10,"294,142",294142,329,0.00112,45,249,55,59,CALI,CAMX,639.9445893,324.4257205,553.3959755,1517.766285,"1,517.77",0.00516,355.6846857,102.3326869,101.8042715,80.12294521,324.4257205,0,0,34.46245178,157.3551284,296.6870251,-1.389,42.46036245,0,23.82000782,46.3,0,0,4.33,20,0,70.63
b,2012,10,9,"295,377",295377,335,0.00113,45,256,55,59,CALI,CAMX,610.4002929,350.1375935,547.7457435,1508.28363,"1,508.28",0.00511,326.2211297,102.2519464,101.8042715,80.12294521,350.1375935,0,0,41.27059872,157.0341331,285.1336886,-1.389,44.28139839,0,21.41492466,46.3,0,0,11.24,50,35,142.27
b,2013,11,8,"295,577",295577,330,0.00112,45,249,55,59,CALI,CAMX,586.3172728,358.2980045,617.79416,1562.409437,"1,562.41",0.00529,303.3948514,102.2378236,101.8042715,78.88032635,358.2980045,0,0,32.09318158,157.0039341,369.0018907,-1.9977,39.77882636,0,21.91402727,66.59,0,0,8.57,60,231,365.8
c,2013,11,8,"302,010",302010,"2,222",0.00736,0,2599,157,207,WECC Southwest,AZNM: WECC Southwest,226.532461,3254.06668,3162.866908,6643.46605,"6,643.47",0.022,134.8754976,14.90747141,73.70876013,3.0407319,3254.06668,0,0,1831.397567,720.79701,152.1606292,193.729536,19.02809244,46.73062053,199.0234528,360.36,0,0,0,0,0,360.36
c,2014,12,7,"302,010",302010,"2,130",0.00705,0,2472,161,206,WECC Southwest,AZNM: WECC Southwest,183.552418,2409.699256,2634.651771,5227.903446,"5,227.90",0.01731,94.33377871,12.46914726,73.70876013,3.0407319,2409.699256,0,0,1759.6991,492.6273827,7.929045563,185.657472,19.02809244,48.47909157,121.2315874,360.36,0,0,0,0,0,360.36
c,2016,14,5,"302,010",302010,"1,979",0.00655,0,2275,150,214,WECC Southwest,AZNM: WECC Southwest,243.8621092,2644.630592,1962.645782,4851.138483,"4,851.14",0.01606,148.8661766,19.19745138,73.70876013,2.0897211,2644.630592,0,0,960.1392524,459.4700122,188.1540205,185.657472,18.46026922,34.35472395,116.4100318,360.36,0,0,0,0,0,360.36
